h;form1;form2;form3;form4;form5
0.5;0,003751;0,004077;0,000163;0,000002;0
0.25;0,001913;0,001995;0,000041;0;0
0.125;0,000967;0,000987;0,00001;0;0
0.0625;0,000486;0,000491;0,000003;0;0
0.03125;0,000244;0,000245;0,000001;0;0
0.015625;0,000122;0,000122;0;0;0
0.0078125;0,000061;0,000061;0;0;0
0.00390625;0,000031;0,000031;0;0;0
0.00195312;0,000015;0,000015;0;0;0
0.000976562;0,000008;0,000008;0;0;0
0.000488281;0,000004;0,000004;0;0;0
0.000244141;0,000002;0,000002;0;0;0
0.00012207;0,000001;0,000001;0;0;0
6.10352e-05;0;0;0;0;0
3.05176e-05;0;0;0;0;0
1.52588e-05;0;0;0;0;0
7.62939e-06;0;0;0;0;0
3.8147e-06;0;0;0;0;0
1.90735e-06;0;0;0;0;0
9.53674e-07;0;0;0;0;0
4.76837e-07;0;0;0;0;0
2.38419e-07;0;0;0;0;0
1.19209e-07;0;0;0;0;0
5.96046e-08;0;0;0;0;0
2.98023e-08;0;0;0;0;0
1.49012e-08;0;0;0;0;0
7.45058e-09;0;0;0;0;0
3.72529e-09;0;0;0;0;0
1.86265e-09;0;0;0;0;0
9.31323e-10;0;0;0;0;0
4.65661e-10;0;0;0;0;0
2.32831e-10;0;0;0;0;0
1.16415e-10;0;0;0;0;0
5.82077e-11;0;0;0;0;0
2.91038e-11;0;0;0;0;0
1.45519e-11;0;0;0;0;0
7.27596e-12;0;0;0;0;0
3.63798e-12;0;0;0;0;0
1.81899e-12;0;0;0;0;0
9.09495e-13;0;0;0;0;0
4.54747e-13;0;0;0;0;0
